SNo,District Code,Block Code,FTO No.,Financial Institution,Signatory Date,No of Transaction,Amount(In Rs.),No of Transaction Processed,Amount(In Rs.),No of Transaction Rejected,Amount(In Rs.),Total Processed Amount(In Rs.),No of Invalid Account
194,212,212024,AP0212024_110422APB_FTO_10194,Bank,11-04-2022,1,203663,211,199388,4,4275,199388,0
195,212,212024,AP0212024_110422APB_FTO_10197,Bank,11-04-2022,1,18504,12,18504,0,0,18504,0
196,212,212006,AP0212006_110422APB_FTO_10202,Bank,11-04-2022,1,214722,296,210194,8,4528,210194,0
197,212,212032,AP0212032_110422FTO_10209,Bank,11-04-2022,1,48178,62,47001,3,1177,47001,0
198,212,212032,AP0212032_110422APB_FTO_10217,Bank,11-04-2022,1,265394,372,262439,5,2955,262439,0
199,212,212001,AP0212001_120422FTO_10304,Bank,12-04-2022,1,2866,5,2866,0,0,2866,0
200,212,212034,AP0212034_120422FTO_10306,Bank,12-04-2022,1,13416,12,13416,0,0,13416,0
201,212,212034,AP0212034_120422APB_FTO_10307,Bank,12-04-2022,1,58033,51,58033,0,0,58033,0
202,212,212034,AP0212034_120422APB_FTO_10310,Bank,12-04-2022,1,42015,53,42015,0,0,42015,0
203,212,212001,AP0212001_120422APB_FTO_10311,Bank,12-04-2022,1,46270,85,46270,0,0,46270,0
204,212,212034,AP0212034_120422APB_FTO_10312,Bank,12-04-2022,1,51468,44,51468,0,0,51468,0
205,212,212001,AP0212001_120422APB_FTO_10329,Bank,12-04-2022,1,45880,97,45880,0,0,45880,0
206,212,212001,AP0212001_120422FTO_10339,Bank,12-04-2022,1,6782,12,6782,0,0,6782,0
207,212,212032,AP0212032_120422FTO_10431,Bank To Cooperative,10-05-2022,1,1182,0,0,0,0,0,0
208,212,212011,AP0212011_120422FTO_10514,Bank,12-04-2022,1,23049,38,22707,1,342,22707,0
209,212,212011,AP0212011_120422APB_FTO_10537,Bank,12-04-2022,1,254313,355,250461,7,3852,250461,0
210,212,212019,AP0212019_120422FTO_10591,Bank,12-04-2022,1,40746,49,40746,0,0,40746,0
211,212,212014,AP0212014_120422FTO_10593,Bank,12-04-2022,1,4684,5,4684,0,0,4684,0
212,212,212014,AP0212014_120422APB_FTO_10609,Bank,12-04-2022,1,75072,76,74337,1,735,74337,0
213,212,212019,AP0212019_120422APB_FTO_10617,Bank,12-04-2022,1,275610,324,273609,4,2001,273609,0
214,212,212014,AP0212014_120422FTO_10628,Bank,12-04-2022,1,528,2,528,0,0,528,0
215,212,212014,AP0212014_120422APB_FTO_10633,Bank,12-04-2022,1,4320,14,4320,0,0,4320,0
216,212,212021,AP0212021_120422FTO_10747,Bank,12-04-2022,1,21932,20,21932,0,0,21932,0
217,212,212017,AP0212017_120422FTO_10762,Bank,12-04-2022,1,16071,27,16071,0,0,16071,0
218,212,212021,AP0212021_120422APB_FTO_10766,Bank,12-04-2022,1,164563,138,164563,0,0,164563,0
219,212,212004,AP0212004_120422APB_FTO_10777,Bank,12-04-2022,1,156964,218,151096,9,5868,151096,0
220,212,212004,AP0212004_120422FTO_10785,Bank To Cooperative,12-04-2022,1,10228,0,0,0,0,0,0
221,212,212021,AP0212021_120422FTO_11043,Bank,12-04-2022,1,23784,32,23784,0,0,23784,0
222,212,212021,AP0212021_120422APB_FTO_11055,Bank,12-04-2022,1,117841,166,116350,3,1491,116350,0
